role,name,team
student,damithc,team1
student,aakanksha-rai,team2
student,Abhiman2211,team3
student,rbth7e5,team1
student,AaronCQL,team2
student,jon-chua,team3
student,ElysiaTanZY,team1
student,eugenetyc,team2
student,Q-gabe,team3
student,shaoyi1997,team1
student,jolynnn8D,team2
student,bluesky0911,team3
student,fatclarence,team1
student,tingalinga,team2
student,limdylan,team3
student,LimZhengJieBenjamin,team1
student,j-lum,team2
student,ManasVegi,team3
student,jothipillay,team1
student,madanalogy,team2
student,janakanuwan,team3
student,HyperionNKJ,team1
student,nivenang,team2
student,alcen,team3
student,Tejas2805,team1
student,tishyakhanna97,team2
student,tristonpang,team3
student,vineethbuddha,team1
student,WenjieWWJ,team2
student,wilfredbtan,team3
student,sinhayash,team1
student,zhuhanming,team2
student,EugeneTeu,team3
student,khsc96,team1
student,garylyp,team2
student,tharshita,team3
